text,amount,category,payment_method,payment_provider,bank_account,text_source
PharmEasy consultation fee 5792 cash pe.,5792,healthcare,cash,,,english
eye clinic par 7372.83 ka bill cash se,7372.83,healthcare,CASH,,,ocr_upi
Airtel recharge bill pay 3844 cash,3844,utilities,cash,,,ocr_receipt
"Yatra flight booking 14166.96, paid by GPay.",14166.96,travel,upi,gpay,,english
22760 for lab/medicine at lab test via cash,22760,healthcare,cash,,,ocr_upi
Box8 bill paid 2358 via cash,2358,food,cash,,,english
   Deducted 12322 for HP petrol booking.   ,12322,travel,unknown,,,english
Groww investment of 7833.15 done via GPay,7833.15,investment,upi,null,,voice
Steam ka monthly charge 891.20 dedo RBL Bank card se,891.20,entertainment,card,,rbl,hinglish
woh 5161.50 jo brother ne manga tha paid by Paytm,5161.50,friends,upi,paytm,,voice
"Rahul ne 5030 maanga tha, de diya cash",5030,friends,cash,,,ocr_receipt
Monthly education loan EMI 35949 paid by cash,35949,emi,cash,,,english
broadband 4621.35 deducted by for bill,4621.35,utilities,unknown,,,voice
19981 ki stocks ki purchase paytm se,19981,investment,upi,paytm,,hinglish
   Croma ka payment 15565 Visa wallet se   ,15565,shopping,card,,,voice
INOX monthly 1305 wala plan activate cash se,1305,entertainment,cash,,,voice
diagnostic center ke paise 2696 Paytm se deduct hue,2696,healthcare,upi,paytm,,hinglish
Ajio ka payment 29212 cred wallet se,29212,shopping,upi,cred,,voice
200 Spotify subscription ke liye de diye,200,entertainment,unknown,,,hinglish
"Coffee on me, Priya ko 4732 pay kiya",4732,friends,unknown,,,hinglish
Monthly education loan EMI 27930 paid by phonepe,27930,emi,upi,nan,,english
Apollo Pharmacy ko 9310 diya Visa se,9310,healthcare,card,,,hinglish
checkup 2187 UPI Paytm.,2187,healthcare,upi,paytm,,english
"Quick bite from Zomato, cost 487, used debit card",487,food,card,,,hinglish
Paid 40385 towards FD with cash,40385,investment,cash,,,ocr_receipt
"KFC pe khana 1287, UPI MobiKwik",1287,food,upi,mobikwik,,english
Returned 4902 to roommate via cash,4902,friends,cash,,,ocr_receipt
fees ke liye 51225.25 pay kiye HDFC card se,51225.25,education,CARD,,hdfc,hinglish
Booked tuition course for 3799.91 with cash,3799.91,education,Cash,,,english
Visa se personal loan EMI ke 6135 pay kiye,NA,emi,card,,,hinglish
"2384.35 to PharmEasy for medicine, paid with cash.",2384.35,healthcare,cash,,,english
SpiceJet se 13842 ka bill clear kiya cash ke through,13842,travel,cash,,,hinglish
bike loan EMI payment of 25035 done with cred,25035,emi,UPI,cred,,english
Cab fare 3906.83 to petrol pump.,3906.83,travel,unknown,,,english
3574 spent on Rapido travel with cash,3574,travel,cash,,,ocr_upi
Education fee 28364.76 paid to course using GPay from Bank of Baroda.,28364.76,education,upi,gpay,bob,ocr_upi
gold monthly contribution of 31270 by phonepe.,31270,investment,upi,phonepe,,english
"1017.52 udhar diya upGrad ke liye, baad me le lena",1017.52,education,unknown,,,hinglish
Bought stuff from Meesho for 10545 using cash,10545,shopping,cash,,,english
"Tata CLiQ ka order 15284 mein, paid by credit card",15284,shopping,card,,,hinglish
"tuition ko 6958 bheje, cash diya",6958,education,cash,,,hinglish
Auto debit for home loan EMI of 26495 from Fi Money,26495,emi,Card,,fi,english
DTH recharge ki bill 2184.66 pay ki Paytm se,NA,utilities,upi,paytm,,english
3157 paid via cash for electricity bill services,3157,utilities,cash,,,ocr_upi
Phone Pe through IndusInd for Lenskart 28960,28960,shopping,upi,null,indusind,ocr_upi
MedPlus ke paise 15589 cash se deduct hue,15589,healthcare,cash,,,hinglish
aaj mall par kharcha 16057 cash,16057,shopping,cash,,,voice
aaj Jio recharge ka bill gaya 3758 cred se,3758,utilities,upi,,,voice
nan,93.81,food,unknown,,,voice
aaj food delivery Burger King 839 cred ke through,839,food,UPI,nan,,voice
"   Books ke liye 40784.16 ka kharcha, amazon pay se  ",40784.16,education,upi,amazonpay,,hinglish
Topped up NPS with 38969 using cred.,38969,investment,upi,cred,,english
lab test ke liye 11741 advance diya GPay pe,11741,healthcare,upi,gpay,,hinglish
mutual fund SIP purchase of 25297.09 using BHIM,25297.09,investment,upi,bhim,,ocr_upi
Monthly mobile recharge 4468 Mastercard,4468,utilities,Card,,,ocr_receipt
"  Sneha se liya 8389.68 for cab share, debit card se  ",8389.68,friends,card,,,hinglish
FD ke liye 31738.08 ka payment BHIM kiya,31738.08,investment,upi,bhim,,voice
Scanned & paid 9568 at Zara via Google Pay,9568,shopping,upi,gpay,,ocr_receipt
Food expense at Zepto 719 by MobiKwik,719,food,upi,mobikwik,,english
woh 1363 jo friend ne manga tha paid by PhonePe,1363,friends,upi,phonepe,,voice
"Went to Spotify, spent 320, paid by BHIM",NA,entertainment,upi,bhim,,english
Bus ticket on Ola for 7004.,7004,travel,unknown,,,english
JioCinema membership renewal 265 via Mastercard,265,entertainment,card,,,english
2393.86 Netflix subscription auto-debit ho gaya via AmazonPay,1234567,entertainment,upi,amazonpay,,hinglish
"Books ke liye 47575 ka kharcha, GPay se",47575,education,upi,gpay,,hinglish
   32625 sip in gold through IndusInd.  ,32625,investment,unknown,,indusind,english
maintenance payment 2070.73 Visa,2070.73,utilities,card,,,english
2214 deducted for Spotify subscription,2214,entertainment,unknown,,,english
friend ko 5854 ka bill share kiya,5854,friends,unknown,,,ocr_receipt
bhai installment ka installment 23009.82 pay kiya IDFC se,23009.82,emi,unknown,,idfc,voice
PPF SIP auto-debit 31514 ho gaya,31514,investment,card,,,hinglish
Ajio online order 27474 paid by cash,27474,shopping,cash,,,ocr_receipt
"home loan EMI due cleared, 25195 from credit card",25195,emi,card,,,english
mall bill payment 12938 via bhim,12938,shopping,Upi,bhim,,ocr_receipt
UPI payment to Ananya for 8057.45 using cred.,8057.45,friends,Upi,NA,,ocr_upi
Hospital admission charges 19793 by cash.,19793,healthcare,cash,,,english
Zomato Gold recharge for 450 via PhonePe,450,entertainment,upi,phonepe,,ocr_receipt
NA,5921,travel,unknown,,bob,hinglish
credit card EMI ke liye 6716 ka payment kardia card pe,6716,emi,card,,,hinglish
Booked Uber ticket for 12650 via cash,12650,travel,cash,,,ocr_upi
"825 ka petrol Yatra pe bharaya, bhim se payment",825,travel,upi,bhim,,hinglish
"  2866 gas bill ke liye de diye yaar, cash se ",2866,utilities,cash,,,hinglish
Paytm se Starbucks ko 1300 ka bill,1300,food,upi,paytm,,ocr_upi
Auto debit for personal loan EMI of 16737 from,16737,emi,card,,,english
mutual fund SIP pe 690.87 ka order confirm amazon pay se,690.87,investment,upi,amazonpay,,hinglish
Jio recharge recharge of 4699 with gpay,4699,utilities,upi,gpay,,english
personal loan EMI EMI of 38732 done with card,38732,emi,card,,,ocr_upi
,3455.43,utilities,cash,,,hinglish
"1810.39 debited for canteen order, paytm",1810.39,food,upi,paytm,,ocr_upi
electricity bill ki bill 175 pay ki cash se,175,utilities,cash,,,english
MakeMyTrip ke ticket ke liye 7440 pay kiya cash pe,7440,travel,Cash,,,hinglish
education loan EMI ka EMI 20553 auto debit hogaya,20553,emi,card,,,hinglish
sister ka udhaar 5513.97 vapas kiya CRED pe,5513.97,,upi,cred,,voice
Bought FD units worth 42424.14 with Amazon Pay.,"42,424.14",investment,upi,amazonpay,,english
Angel One monthly contribution of 7259 by cred.,7259,investment,upi,--,,english
Auto debit for education loan EMI of 12514 from Jupiter,12514,emi,card,,jupiter,english
"Bewakoof ka order 15110 mein, paid by bhim",15110,shopping,upi,bhim,,hinglish
"brother ko 8224 udhaar liya yaar, kal return karunga",null,friends,unknown,,,hinglish
PhonePe se wifi bill ko 90 transfer kiya,90,utilities,upi,phonepe,,hinglish
  phonepe se roommate ko transfer 1021.73 for movie tickets  ,1021.73,friends,upi,null,,voice
"Lent 8491.04 to friend for shopping, cash",8491.04,friends,cash,,,english
"Bhai, kal Behrouz pe 1480.55 kharcha hua card pe",1480.55,food,card,,,hinglish
"1209 gaye Bewakoof pe, Amazon Pay se settle kiya",1209,shopping,upi,amazonpay,,hinglish
paid 31140 for mutual fund SIP via cash,31140,investment,cash,,,voice
Shopped at Zara for 16396,16396,shopping,unknown,,,english
Booked Goibibo ticket for 8552 via PhonePe,8552,travel,upi,phonepe,,ocr_upi
main metro ko 14766.49 pay kiya PayTM ke through,14766.49,travel,upi,paytm,,voice
27714.23 ki PPF ki purchase bhim se,27714.23,investment,upi,bhim,,hinglish
Mastercard notification: 4001 paid to electricity bill from Bandhan,1234567,utilities,card,,bandhan,ocr_upi
H&M bill payment 3934.30 via PhonePe,3934.30,shopping,upi,phonepe,,ocr_receipt
  3842 for this month's EMI on credit card  ,3842,emi,Card,,,ocr_receipt
bhai PVR ka bill 926 de diya cash pe,926,entertainment,cash,,,voice
"1808 gaye Zara pe, BHIM se settle kiya",1808,shopping,upi,bhim,,hinglish
Movie at Netflix 1841.57 with cash,1841.57,entertainment,cash,,,english
"  Meesho ka order 26565 mein, paid by card  ",26565,shopping,card,,,hinglish
DTH recharge ka 4811 ka bill auto-debit ho gaya amazon pay se,4811,utilities,upi,null,,hinglish
stocks ko 14367 transfer kiya cash ke through,14367,investment,cash,,,hinglish
Zepto pe 1084 ka bill Paytm kiya,1084,food,upi,paytm,,hinglish
mess pe 1180 ka bill Google Pay kiya,1180,food,upi,gpay,,hinglish
Investment in Groww for 21117 from Canara Bank,21117,investment,unknown,,canara,ocr_upi
"books ko 2187 bheje, cash diya",2187,education,cash,,,hinglish
   diagnostic center 22937.79 UPI cash.   ,22937.79,healthcare,cash,,,english
31007.85 deducted for personal loan EMI by BHIM,31007.85,emi,upi,bhim,,ocr_upi
1289 udhar diya Haldirams mein khane ka bill cash se,1289,food,cash,,,voice
"Rahul ne 9553 maanga tha, wapas kiya cash pe",9553,friends,cash,,,hinglish
"  upGrad ko 46831 bheje, cash diya ",46831,education,cash,,,hinglish
school fees pe 53169 ka payment cash kiya,53169,education,cash,,,hinglish
Tuition fee 30074.16 paid to Allen coaching with Google Pay.,30074.16,education,upi,gpay,,ocr_upi
bhai car loan EMI ka installment 22107.60 pay kiya Indusind Bank se,22107.60,emi,unknown,,indusind,voice
Behrouz 1680.23 wala order CRED se kiya,1680.23,food,upi,cred,,english
INOX pe movie dekhne ka 1834.21 spend kiya,1834.21,entertainment,unknown,,,hinglish
paid 9246.60 for metro via mobikwik upi,9246.60,travel,upi,mobikwik,,voice
KFC 603.60 wala order Phone Pe se kiya,-603.60,food,upi,phonepe,,english
   Paid hospital 15577.44 in cash.   ,15577.44,healthcare,Cash,,,english
phonepe se canteen ko 382 transfer kiya lunch ke liye,382,food,upi,nan,,voice
restaurant order for 1622.13 using bhim,1622.13,food,upi,nan,,english
Recurring payment to sovereign gold bond for 29191.73 via Mobikwik,29191.73,investment,UPI,mobikwik,,ocr_upi
3373 sister ko diya for movie tickets via mobikwik,3373,friends,upi,nan,,hinglish
Zara ke liye 15758 ka payment CRED se kiya,15758,shopping,upi,cred,,english
3467.12 paid for lab tests at Apollo Pharmacy using cash.,"3,467.12",healthcare,cash,,,english
Paid 6846 to flatmate from .,6846,friends,unknown,,,ocr_upi
Food expense at restaurant 1627.87 by cred,1627.87,food,upi,cred,,english
Paid 43292 for my crypto investment.,43292,investment,unknown,,,english
10357.78 spent on Cleartrip through Bandhan Bank card.,10357.78,travel,card,,bandhan,english
Myntra shopping ke liye 12096.93 ka payment debit card se,12096.93,shopping,card,,,hinglish
580 concert subscription ke liye de diye,580,entertainment,unknown,,,hinglish
Concert ticket booked 2651 cash State Bank,2651,entertainment,cash,,sbi,ocr_receipt
Chipped in 6039 for Neha's gift via bhim,6039,friends,upi,bhim,,english
Rahul sent 6275 on cash,6275,friends,Cash,,,ocr_receipt
cash se broadband ko 4606 transfer kiya,4606,utilities,cash,,,hinglish
"Ufff, Flipkart ne kat liya 28525.83, CRED se payment",28525.83,shopping,upi,cred,,hinglish
maintenance 985 MobiKwik,985,utilities,upi,mobikwik,,ocr_receipt
"rent ka recharge kiya hai 536.89 ka, paytm pe",536.89,utilities,upi,paytm,,hinglish
PhonePe payment of 4369 to Flipkart successful,4369,shopping,upi,NA,,ocr_upi
electronics store order 1083.96 paid by cash,1083.96,shopping,cash,,,english
flatmate sent 6978 on PayTM,6978,friends,upi,paytm,,ocr_receipt
Paid 10826 for this month's credit card EMI via Mobikwik,10826,emi,UPI,mobikwik,,english
Zara se shopping 6081.54 ka debit card se diya,6081.54,shopping,Card,,,voice
Foodpanda order from Starbucks 2390 GPay,2390,food,upi,gpay,,ocr_receipt
fees 41480 Allen coaching ko diya cash,41480,education,cash,,,voice
Khana McDonald's 1395 paid by card,1395,food,card,,,ocr_upi
   stocks ke liye 1380 invest kiya bhai  ,1380,investment,unknown,,,hinglish
"Online order on Lenskart for 9445, paid by gpay",9445,shopping,Upi,gpay,,english
374 for maintenance using PhonePe card,374,utilities,upi,--,,english
   checkup ke liye 21915 spent from BOB card   ,21915,healthcare,card,,bob,voice
Apple Music bill paid 679.06 Amazon Pay,679.06,entertainment,upi,nan,,ocr_upi
Priya bhai ko 7715.26 bej diya cash pe,7715.26,friends,cash,,,hinglish
"Karan paid the bill, so sent my half of 7257.09 via paytm",7257.09,friends,upi,paytm,,english
Had to pay physio 5495 using credit card from .,5495,healthcare,card,,,english
main ne friend ko 955 bheja on paytm from ICICI Bank,955,friends,upi,paytm,icici,voice
Yatra se 2671 ka bill Google Pay se clear,2671,travel,upi,,,ocr_upi
Karan ko 8388 udhaar diya GPay se,8388,friends,upi,gpay,,hinglish
water bill 4151 deducted by Jupiter for bill,4151,utilities,unknown,,jupiter,voice
"Yaar, Behrouz ka bill 1520 aaya, cred se clear kiya",1520,food,upi,--,,hinglish
PharmEasy par 21144 ka bill cash se,21144,healthcare,cash,,,ocr_upi
cash se Myntra ko 8992.10 ka payment,8992.10,shopping,cash,,,ocr_upi
Indian Oil recharge of 7888 using PayTM.,7888,travel,upi,paytm,,english
rent bill settled via paytm 1043,1043,utilities,upi,paytm,,ocr_receipt
Spent 28439 on a quick Bewakoof order with debit card,28439,shopping,card,,,english
BookMyShow ke liye 2212 ka payment Mobikwik se kiya,2212,entertainment,upi,mobikwik,,hinglish
INOX ke liye 1001.05 Phone Pe se,1001.05,entertainment,upi,None,,ocr_upi
"2896.14 debit hua Netflix ke liye, payment method cash",2896.14,entertainment,card,,,hinglish
"broadband ke liye cash diya 2847 ki, baad me phonepe se adjust karunga",2847,utilities,upi,phonepe,,hinglish
  FirstCry se shopping 6662 ka cash se diya  ,6662,shopping,cash,,,voice
SonyLIV ke live concert ke liye 545 pay kiye phonepe se,545,entertainment,upi,phonepe,,hinglish
43624.66 sip in PPF through RBL Bank.,43624.66,investment,unknown,,rbl,english
JioCinema recharge 317.31 RBL Bank cash,317.31,entertainment,cash,,rbl,ocr_upi
lab test ke liye 11410.45 advance diya cash pe,11410.45,healthcare,cash,,,hinglish
SpiceJet se 7334 ka recharge karaya.,7334,travel,unknown,,,english
index fund ke liye 11425.51 ka payment paytm kiya,11425.51,investment,upi,paytm,,voice
35743.17 for Coursera books on Visa,35743.17,education,card,,,english
cafe bill paid 2304 via cash,2304,food,cash,,,english
"metro ne 8114 ka ride liya, payment phonepe se",8114,travel,upi,phonepe,,hinglish
  Visa se education loan EMI ke 25729.48 pay kiye   ,25729.48,emi,card,,,hinglish
recurring deposit ke liye 21111 ka kharcha BHIM se kiya,21111,investment,upi,bhim,,hinglish
"Meesho shopping, 1529 by debit card",-1529,shopping,card,,,english
Netmeds ke paise 23233.03 amazon pay se deduct hue,23233.03,healthcare,upi,amazonpay,,hinglish
Booked HP petrol ticket for 856.81 via cash.,856.81,travel,cash,,,english
home loan EMI EMI 35369 deducted via MobiKwik,1234567,emi,upi,mobikwik,,voice
  Paid back 5751 to brother for the movie tickets using mobikwik ,5751,friends,UPI,NA,,english
Spent 2107 on food from Burger King with amazon pay,2107,food,upi,amazonpay,,english
Set up 35811 EMI with debit card,35811,emi,card,,,ocr_upi
Quick bite at Box8 1506 with HDFC Bank card,1506,food,card,,hdfc,english
  Uber travel expense 5351 deducted from Bandhan Bank ,5351,travel,unknown,,bandhan,hinglish
Book purchase for upGrad 53998 cash,53998,education,cash,,,ocr_receipt
MakeMyTrip ki cab ke 14345 cash se transfer kar diye,14345,travel,cash,,,hinglish
Reliance Digital pe 28221.61 ka payment Mastercard se,28221.61,shopping,card,,,ocr_upi
  just paid 29621 towards car loan EMI using BHIM  ,29621,emi,upi,bhim,,voice
"Ufff, H&M ne kat liya 367, bhim se payment",367,shopping,upi,bhim,,hinglish
Airtel recharge payment 3967 amazon pay,3967,utilities,upi,null,,english
Groww mein 34382.20 add kiya Visa se,34382.20,investment,card,,,hinglish
Monthly personal loan EMI of 11062 via Mastercard,11062,emi,Card,,,ocr_receipt
paid 1014 to concert via Mobikwik,1014,entertainment,upi,mobikwik,,voice
"Drove together, Karan ne petrol ka 7682.96 diya",7682.96,friends,unknown,,,hinglish
maintenance ka bill 1862 diya,1862,utilities,unknown,,,voice
sister ko 8989.45 ka bill share kiya,8989.45,friends,Unknown,,,ocr_receipt
bhai ne bataya stocks mein 2419 lagaye hai GPay se,2419,investment,upi,gpay,,voice
credit card EMI payment of 22053 by Mastercard,22053,emi,card,,,ocr_receipt
Zomato Gold pe movie dekhne ka 2285 spend kiya,2285,entertainment,unknown,,,hinglish
aaj Behrouz pe order kiya 753 gpay se,753,food,upi,gpay,,voice
aaj Rahul se paise liye 95.66 in cash,95.66,friends,cash,,,voice
Sneha ke saath dinner ka hissa 2783.86 PayTM kiya,2783.86,friends,upi,paytm,,hinglish
Bewakoof - 26204 debited by cash,26204,shopping,cash,,,ocr_upi
BookMyShow ke live concert ke liye 822.42 pay kiye paytm se,822.42,entertainment,upi,paytm,,hinglish
physio bill of 7091 on paytm.,7091,healthcare,upi,paytm,,english
19447 for credit card EMI paid from Jupiter,19447,emi,card,,jupiter,hinglish
Netmeds ka bill 14117.88 Amazon Pay pe clear kiya,14117.88,healthcare,upi,amazonpay,,hinglish
  Payment of 38065 to Udemy successful on cash.   ,nan,education,cash,,,ocr_upi
UPI payment of 3853 for Jio recharge via AmazonPay,3853,utilities,upi,nan,,ocr_upi
Pizza from BigBasket for 57 on bhim,57,food,upi,NA,,english
Goibibo se 8304 ka bill clear kiya cash ke through,8304,travel,cash,,,hinglish
aaj Karan se paise liye 4657 in cash,4657,friends,Cash,,,voice
Cab fare 2674 to Rapido.,2674,travel,unknown,,,english
Apollo Pharmacy ka 8656 ka bill pay kiya credit card ke through,8656,healthcare,card,,,voice
mobikwik use karke credit card EMI ka 36291 dedo,36291,emi,upi,mobikwik,,hinglish
aaj rent ka bill gaya 1702 cred se,1702,utilities,upi,cred,,voice
3119 sent to roommate using phonepe,3119,friends,upi,phonepe,,ocr_receipt
Monthly wifi bill 1047 paid by credit card,1047,utilities,card,,,english
"Air India ne 13431 ka ride liya, payment cash se",13431,travel,cash,,,hinglish
Topped up recurring deposit with 39706.81 using PhonePe.,39706.81,investment,upi,phonepe,,english
7289 Ola driver ko cash diya,7289,travel,cash,,,hinglish
bhai ko upGrad ke liye 44470 diya cash se,44470,education,cash,,,voice
returned Karan my share 903 on cash,903,friends,cash,,,voice
crypto SIP of 46342.41 paid using PhonePe,46342.41,investment,upi,phonepe,,ocr_upi
doctor ka bill 19024 cash diya,19024,healthcare,cash,,,voice
"sister me 2014 udhaar diya, PayTM se",2014,friends,upi,paytm,,english
Paid 207 to food court via cash from ICICI,207,food,cash,,icici,english
Bewakoof ko 6967 transfer kiye Fi card se,6967,shopping,card,,fi,hinglish
"course ko 43368 bheje, cash diya",43368,education,cash,,,hinglish
"Dinner bill split with friend, my share 6285 on CRED",6285,friends,upi,cred,,english
PVR movie 1433.53 mein book kardi IDFC First account se,1433.53,entertainment,unknown,,idfc,hinglish
16331 for bike loan EMI through card,16331,emi,Card,,,english
1355.38 sent to flatmate using Paytm,1355.38,friends,upi,paytm,,ocr_receipt
Monthly EMI of 35816.69 paid via paytm,35816.69,emi,upi,paytm,,hinglish
Booked IndiGo ticket for 1853 via cash.,1853,travel,cash,,,english
367 spent at mess with cash,367,food,CASH,,,ocr_upi
aaj Nykaa par kharcha 4224 CRED,4224,shopping,upi,,,voice
hospital ko 4109 diya cred se,4109,healthcare,upi,cred,,hinglish
FD ko 48875 transfer kiya GPay ke through,48875,investment,upi,,,hinglish
Netmeds ka bill 21756 cash diya,21756,healthcare,CASH,,,voice
FirstCry pe shopping kiye 4835.52 AmazonPay se,4835.52,shopping,upi,amazonpay,,hinglish
Bought gold units worth 28273 with CRED.,28273,investment,upi,cred,,english
   i did auto booking for 14908 with BHIM   ,14908,travel,upi,bhim,,voice
i bought crypto worth 42184 using paytm,42184,investment,upi,paytm,,voice
cash se Hotstar ki annual plan leli worth 2077,2077,entertainment,cash,,,hinglish
friend ko 8301.74 gift sent via amazon pay,8301.74,friends,upi,,,ocr_receipt
"Ajio pe 10121 spend kare, AmazonPay ke saath",10121,shopping,upi,None,,hinglish
recurring deposit pe 5818 ka order confirm Mastercard se,5818,investment,card,,,hinglish
Movie at Steam 1753.01 with paytm,1753.01,entertainment,upi,paytm,,english
auto ki booking karne pe 14332.85 lag gaye gpay se,14332.85,travel,upi,gpay,,hinglish
5936.09 car loan EMI ke liye HDFC se pay kiya,5936.09,emi,unknown,,hdfc,hinglish
main concert ke liye 450.41 pay kiya using cash,450.41,entertainment,cash,,,voice
13490.86 PharmEasy pe kharch hua Phone Pe se,13490.86,healthcare,upi,phonepe,,hinglish
Sent 6681 for HP petrol via debit card from Bank of Baroda.,6681,travel,card,,bob,english
Ola se 3363 ka bill clear kiya cash ke through,3363,travel,cash,,,hinglish
Bought stuff from Reliance Digital for 11043.52 using PayTM,11043.52,shopping,upi,paytm,,english
Paid 7390 for a Flipkart delivery,7390,shopping,Unknown,,,english
Apollo Pharmacy bill of 11935.15 on cash.,11935.15,healthcare,cash,,,english
paid 157.32 to concert via cash,nan,entertainment,cash,,,voice
PPF ke liye 25803 ka kharcha Mastercard se kiya,25803,investment,card,,,hinglish
  Payment of 8764.84 for brother from State Bank account via cash.   ,8764.84,friends,cash,,sbi,ocr_upi
Investment in FD for 46942 from Kotak Mahindra,46942,investment,Unknown,,kotak,ocr_upi
Monthly installment 32417 paid by cash,32417,emi,cash,,,english
Upi money send 817.39 to Zomato for food by ICICI,817.39,food,unknown,,icici,ocr_upi
Mobikwik se JioCinema ko 1395 pay kiya,1395,entertainment,upi,nan,,english
hospital se medicine li 21208 ka MobiKwik kiya,21208,healthcare,upi,mobikwik,,hinglish
car loan EMI EMI 2083 deducted via Visa,2083,emi,card,,,voice
Zepto food delivery 2277 on cash,2277,food,cash,,,english
cash payment of 2453 to Swiggy successful,2453,food,cash,,,ocr_upi
24838 sip in crypto through Punjab National Bank.,None,investment,unknown,,pnb,english
1292 SonyLIV ki membership renew kardi PhonePe pe se,1292,entertainment,UPI,--,,hinglish
education loan EMI auto-debit of 33060 from Jupiter on Visa,33060,emi,CARD,,jupiter,ocr_upi
Had to pay lab test 4721.83 using Phone Pe from YES BANK.,,healthcare,upi,phonepe,yes bank,english
Made DTH recharge payment of 1780.43 via cred,1780.43,utilities,upi,cred,,english
Arjun for cab 1536.01 split debit card,1536.01,friends,card,,,ocr_receipt
   Ordered biryani from canteen 1216 paid by Mastercard   ,1216,food,card,,,english
bhai auto ki ride 764 cash diye,764,travel,cash,,,voice
bhai ke saath cafe mein khana khaya 1789.11 ka bill cash se,1789.11,food,cash,,,voice
Lenskart ka bill 22735.96 paid by Google Pay,22735.96,shopping,upi,gpay,,voice
aaj school fees ko 29046 bheja cash ke through,29046,education,cash,,,voice
"Drove together, friend ne petrol ka 9876 diya",9876,friends,unknown,,,hinglish
"sister ka birthday gift, contributed 8753 through paytm",8753,friends,upi,paytm,,english
Payment to Ajio for 9464.10 via cash from Union Bank,9464.10,shopping,cash,,union bank,english
"7668 repaid to Sneha for the book, used CRED",7668,friends,upi,cred,,english
returned roommate my share 6551.95 on cash,6551.95,friends,cash,,,voice
  DTH recharge bill 4828.22 done via Google Pay  ,4828.22,utilities,UPI,gpay,,english
phonepe se canteen ko 1691 transfer kiya lunch ke liye,1691,food,upi,phonepe,,voice
"sister ne 9912.14 maanga tha, wapas kiya bhim pe",9912.14,friends,upi,bhim,,hinglish
  Amazon ka bill 1700 paid by cash  ,1700,shopping,cash,,,voice
Deducted 2776.96 on credit card for DTH recharge,2776.96,utilities,card,,,ocr_upi
"2547 Airtel recharge ke liye de diye yaar, phonepe se",2547,utilities,UPI,phonepe,,hinglish
Jio recharge bill paid 2341 using State Bank card,2341,utilities,card,,sbi,voice
aaj MakeMyTrip ke liye 6495.76 diya RBL Bank card se,6495.76,travel,card,,rbl,voice
"1968 debited for Starbucks order, card",1968,food,card,,,ocr_upi
flatmate ko de diya 5834 rent ka hissa Google Pay se,5834,friends,upi,gpay,,voice
auto me 8194 ka payment ho gaya Paytm se,8194,travel,upi,NA,,voice
"Yaar, Box8 ka bill 1960.55 aaya, GPay se clear kiya",1960.55,food,upi,gpay,,hinglish
main Biryani Blues ko 740.04 diye cash se,740.04,food,cash,,,voice
41150.22 deducted for stationery subscription on cash.,41150.22,education,cash,,,ocr_upi
2421 for maintenance using paytm card,2421,utilities,upi,paytm,,english
15300 transferred for exam fee course fee,15300,education,unknown,,,english
books subscription renewed 58694.85 via cash,58694.85,education,cash,,,english
bhai ne manga liya Amazon se 26359 Phone Pe kiya,26359,shopping,upi,,,voice
Air India se 13115 ka recharge karaya.,13115,travel,unknown,,,english
  Rahul ke birthday gift mein chip in 3221.51 via paytm  ,3221.51,friends,upi,paytm,,voice
aaj Zara par kharcha 2298 amazon pay,2298,shopping,upi,amazonpay,,voice
Payment of 3364.40 to diagnostic center successful via Amazon Pay,3364.40,healthcare,upi,amazonpay,,ocr_upi
  lab test ke liye 17723 pay kiya cash se  ,17723,healthcare,cash,,,hinglish
   Paid 891.61 at Hotstar with Visa   ,891.61,entertainment,card,,,english
Pizza from Starbucks for 994.38 on cash,994.38,investment,cash,,,english
kharcha FirstCry par 7140 ka Mastercard se kiya,7140,shopping,card,,,voice
"20146 to PharmEasy for medicine, paid with cash.",20146,emi,cash,,,english
home loan EMI 28640 paid via Mastercard from Slice,--,emi,card,,slice,ocr_receipt
sovereign gold bond account mein 9885 daale from Jupiter,9885,investment,unknown,,jupiter,hinglish
Auto-debit for Angel One 35528 from Niyo,35528,investment,card,,niyo,ocr_upi
Tata CLiQ se liya saman 16438.97 ka paytm pay,16438.97,shopping,upi,paytm,,voice
Flipkart purchase for 10787 using MobiKwik,10787,shopping,upi,mobikwik,,ocr_upi
Payment of 8521 to RedBus successful on cash,8521,travel,cash,,,ocr_upi
  359 for medicines at Apollo Pharmacy cash payment.  ,359,healthcare,CASH,,,english
Haldirams bill paid 422 via paytm,422,food,upi,paytm,,english
17409 paid to electronics store from Bandhan Bank account via cash,nan,shopping,cash,,bandhan,ocr_upi
Sneha borrowed 6725 gave cash back,6725,friends,cash,,,voice
Payment of 8694.93 to EMI successful on debit card,8694.93,emi,card,,,ocr_upi
stationery subscription renewed 42777 via cash,42777,education,cash,,,english
   cash se mobile recharge ko 2187 transfer kiya   ,2187,utilities,cash,,,hinglish
CRED se concert ko 1356 transfer for entertainment,1356,entertainment,upi,cred,,hinglish
"Arjun ka birthday treat, 4251 contribute kiya cash",4251,friends,cash,,,hinglish
  Spotify pe movie dekhne ka 369 spend kiya  ,369,entertainment,unknown,,,hinglish
books ki book 33578 ki li Mobikwik se,33578,education,upi,--,,voice
1465 Priya ko diya for movie tickets via CRED,1465,friends,upi,cred,,hinglish
i did HP petrol booking for 1071 with Paytm,1071,travel,upi,paytm,,voice
   Food expense at KFC 1009.40 by debit card  ,1009.40,food,card,,,english
